Date,Open,High,Low,Close,Adj Close,Daily % Return,Deviation from mean,Event,,
11/26/1985,200.35,201.16,200.11,200.67,200.67,0.16%,0.1%,,,
11/27/1985,200.67,202.65,200.67,202.54,202.54,0.93%,0.9%,,,
11/29/1985,202.54,203.40,201.92,202.17,202.17,-0.18%,-0.2%,,,
12/2/1985,202.17,202.19,200.20,200.46,200.46,-0.85%,-0.9%,,,
12/3/1985,200.46,200.98,200.10,200.86,200.86,0.20%,0.2%,,,
12/4/1985,200.86,204.23,200.86,204.23,204.23,1.68%,1.6%,,,
12/5/1985,204.23,205.86,203.79,203.88,203.88,-0.17%,-0.2%,,,
12/6/1985,203.88,203.88,202.45,202.99,202.99,-0.44%,-0.5%,,,
12/9/1985,202.99,204.65,202.98,204.25,204.25,0.62%,0.6%,,,
12/10/1985,204.25,205.16,203.68,204.39,204.39,0.07%,0.0%,,,
12/11/1985,204.39,206.68,204.17,206.31,206.31,0.94%,0.9%,,,
12/12/1985,206.31,207.65,205.83,206.73,206.73,0.20%,0.2%,,,
12/13/1985,206.73,210.31,206.73,209.94,209.94,1.55%,1.5%,,,
12/16/1985,209.94,213.08,209.91,212.02,212.02,0.99%,1.0%,,,
12/17/1985,212.02,212.45,210.58,210.65,210.65,-0.65%,-0.7%,,,
12/18/1985,210.65,211.23,209.24,209.81,209.81,-0.40%,-0.4%,,,
12/19/1985,209.81,210.13,209.25,210.02,210.02,0.10%,0.1%,,,
12/20/1985,210.02,211.77,210.02,210.94,210.94,0.44%,0.4%,,,
12/23/1985,210.57,210.94,208.44,208.57,208.57,-1.12%,-1.2%,,,
12/24/1985,208.57,208.57,206.44,207.14,207.14,-0.69%,-0.7%,,,
12/26/1985,207.14,207.76,207.05,207.65,207.65,0.25%,0.2%,,,
12/27/1985,207.65,209.62,207.65,209.61,209.61,0.94%,0.9%,,,
12/30/1985,209.61,210.70,209.17,210.68,210.68,0.51%,0.5%,,,
12/31/1985,210.68,211.61,210.68,211.28,211.28,0.28%,0.2%,,,
1/2/1986,211.28,211.28,208.93,209.59,209.59,-0.80%,-0.8%,,,
1/3/1986,209.59,210.88,209.51,210.88,210.88,0.62%,0.6%,,,
1/6/1986,210.88,210.98,209.93,210.65,210.65,-0.11%,-0.1%,,,
1/7/1986,210.65,213.80,210.65,213.80,213.80,1.50%,1.5%,,,
1/8/1986,213.80,214.57,207.49,207.97,207.97,-2.73%,-2.8%,,,
1/9/1986,207.97,207.97,204.51,206.11,206.11,-0.89%,-0.9%,,,
1/10/1986,206.11,207.33,205.52,205.96,205.96,-0.07%,-0.1%,,,
1/13/1986,205.96,206.83,205.52,206.72,206.72,0.37%,0.3%,,,
1/14/1986,206.72,207.37,206.06,206.64,206.64,-0.04%,-0.1%,,,
1/15/1986,206.64,208.27,206.64,208.26,208.26,0.78%,0.7%,,,
1/16/1986,208.26,209.18,207.61,209.17,209.17,0.44%,0.4%,,,
1/17/1986,209.17,209.40,207.59,208.43,208.43,-0.35%,-0.4%,,,
1/20/1986,208.43,208.43,206.62,207.53,207.53,-0.43%,-0.5%,,,
1/21/1986,207.53,207.78,205.05,205.79,205.79,-0.84%,-0.9%,,,
1/22/1986,205.79,206.03,203.41,203.49,203.49,-1.12%,-1.2%,,,
1/23/1986,203.49,204.43,202.60,204.25,204.25,0.37%,0.3%,,,
1/24/1986,204.25,206.43,204.25,206.43,206.43,1.07%,1.0%,,,
1/27/1986,206.43,207.69,206.43,207.39,207.39,0.47%,0.4%,,,
1/28/1986,207.42,209.82,207.40,209.81,209.81,1.17%,1.1%,,,
